 9.99834 -0.182398 5
 9.81594 -10.1807 10
 -10.1807 -9.81594 10
 -9.99834 0.182398 5

 9.99834 -0.182398 5
 10.1807 9.81594 10
 -9.81594 10.1807 10
 -9.99834 0.182398 5

 9.99834 -0.182398 5
 10.1807 9.81594 5
 -9.81594 10.1807 5
 -9.99834 0.182398 5

 9.99834 -0.182398 5
 10.1807 9.81594 0
 -9.81594 10.1807 0
 -9.99834 0.182398 5

 9.99834 -0.182398 5
 9.81594 -10.1807 0
 -10.1807 -9.81594 0
 -9.99834 0.182398 5

 9.99834 -0.182398 5
 9.81594 -10.1807 10
 -10.1807 -9.81594 10
 -9.99834 0.182398 5

